[2025-10-08 13:47:03,007] INFO: [*] Mangá 'Solo Leveling: Ragnarok': 1 capítulos adicionados.
[2025-10-08 13:47:03,028] INFO: [*] Buscando capítulos pela url: https://mangaonline.blog/manga/the-legendary-hero-is-an-academy-honors-student/
[2025-10-08 13:47:04,412] INFO: [*] Capítulos encontrados: 52
[2025-10-08 13:47:04,415] INFO: [*] Total de capítulos extraídos: 52
[2025-10-08 13:47:04,415] INFO: [*] Mangá 'The Legendary Hero is an Academy Honors Student' sincronizado com sucesso.
[2025-10-08 13:47:04,456] INFO: [*] Buscando capítulos pela url: https://mangaonline.blog/manga/blue-lock-manga-pt-br/
[2025-10-08 13:47:04,658] INFO: [*] Capítulos encontrados: 322
[2025-10-08 13:47:04,662] WARNING: [!] Capítulo sem número detectado: 'capitulo  (241)' — pulando...
[2025-10-08 13:47:04,662] WARNING: [!] Capítulo sem número detectado: 'capitulo  (240)' — pulando...
[2025-10-08 13:47:04,662] WARNING: [!] Capítulo sem número detectado: 'capitulo  (239)' — pulando...
[2025-10-08 13:47:04,663] WARNING: [!] Capítulo sem número detectado: 'capitulo  (238)' — pulando...
[2025-10-08 13:47:04,663] WARNING: [!] Capítulo sem número detectado: 'capitulo  (237)' — pulando...
[2025-10-08 13:47:04,663] WARNING: [!] Capítulo sem número detectado: 'capitulo  (236)' — pulando...
[2025-10-08 13:47:04,663] WARNING: [!] Capítulo sem número detectado: 'capitulo  (235)' — pulando...
[2025-10-08 13:47:04,663] WARNING: [!] Capítulo sem número detectado: 'capitulo  (234)' — pulando...
[2025-10-08 13:47:04,663] WARNING: [!] Capítulo sem número detectado: 'capitulo  (233)' — pulando...
[2025-10-08 13:47:04,663] WARNING: [!] Capítulo sem número detectado: 'capitulo  (232)' — pulando...
[2025-10-08 13:47:04,663] WARNING: [!] Capítulo sem número detectado: 'capitulo  (231)' — pulando...
[2025-10-08 13:47:04,663] WARNING: [!] Capítulo sem número detectado: 'capitulo  (230)' — pulando...
[2025-10-08 13:47:04,664] WARNING: [!] Capítulo sem número detectado: 'capitulo  (229)' — pulando...
[2025-10-08 13:47:04,664] WARNING: [!] Capítulo sem número detectado: 'capitulo  (228)' — pulando...
[2025-10-08 13:47:04,664] WARNING: [!] Capítulo sem número detectado: 'capitulo  (227)' — pulando...
[2025-10-08 13:47:04,664] WARNING: [!] Capítulo sem número detectado: 'capitulo  (226)' — pulando...
[2025-10-08 13:47:04,664] WARNING: [!] Capítulo sem número detectado: 'capitulo  (225)' — pulando...
[2025-10-08 13:47:04,664] WARNING: [!] Capítulo sem número detectado: 'capitulo  (224)' — pulando...
[2025-10-08 13:47:04,664] WARNING: [!] Capítulo sem número detectado: 'capitulo  (223)' — pulando...
[2025-10-08 13:47:04,664] WARNING: [!] Capítulo sem número detectado: 'capitulo  (222)' — pulando...
[2025-10-08 13:47:04,664] WARNING: [!] Capítulo sem número detectado: 'capitulo  (221)' — pulando...
[2025-10-08 13:47:04,664] WARNING: [!] Capítulo sem número detectado: 'capitulo  (220)' — pulando...
[2025-10-08 13:47:04,665] WARNING: [!] Capítulo sem número detectado: 'capitulo  (219)' — pulando...
[2025-10-08 13:47:04,665] WARNING: [!] Capítulo sem número detectado: 'capitulo  (218)' — pulando...
[2025-10-08 13:47:04,665] WARNING: [!] Capítulo sem número detectado: 'capitulo  (217)' — pulando...
[2025-10-08 13:47:04,665] WARNING: [!] Capítulo sem número detectado: 'capitulo  (216)' — pulando...
[2025-10-08 13:47:04,665] WARNING: [!] Capítulo sem número detectado: 'capitulo  (215)' — pulando...
[2025-10-08 13:47:04,665] WARNING: [!] Capítulo sem número detectado: 'capitulo  (214)' — pulando...
[2025-10-08 13:47:04,665] WARNING: [!] Capítulo sem número detectado: 'capitulo  (213)' — pulando...
[2025-10-08 13:47:04,665] WARNING: [!] Capítulo sem número detectado: 'capitulo  (212)' — pulando...
[2025-10-08 13:47:04,665] WARNING: [!] Capítulo sem número detectado: 'capitulo  (211)' — pulando...
[2025-10-08 13:47:04,666] WARNING: [!] Capítulo sem número detectado: 'capitulo  (210)' — pulando...
[2025-10-08 13:47:04,666] WARNING: [!] Capítulo sem número detectado: 'capitulo  (209)' — pulando...
[2025-10-08 13:47:04,666] WARNING: [!] Capítulo sem número detectado: 'capitulo  (208)' — pulando...
[2025-10-08 13:47:04,666] WARNING: [!] Capítulo sem número detectado: 'capitulo  (207)' — pulando...
[2025-10-08 13:47:04,666] WARNING: [!] Capítulo sem número detectado: 'capitulo  (206)' — pulando...
[2025-10-08 13:47:04,666] WARNING: [!] Capítulo sem número detectado: 'capitulo  (205)' — pulando...
[2025-10-08 13:47:04,666] WARNING: [!] Capítulo sem número detectado: 'capitulo  (204)' — pulando...
[2025-10-08 13:47:04,666] WARNING: [!] Capítulo sem número detectado: 'capitulo  (203)' — pulando...
[2025-10-08 13:47:04,666] WARNING: [!] Capítulo sem número detectado: 'capitulo  (202)' — pulando...
[2025-10-08 13:47:04,667] WARNING: [!] Capítulo sem número detectado: 'capitulo  (201)' — pulando...
[2025-10-08 13:47:04,667] WARNING: [!] Capítulo sem número detectado: 'capitulo  (200)' — pulando...
[2025-10-08 13:47:04,667] WARNING: [!] Capítulo sem número detectado: 'capitulo  (199)' — pulando...
[2025-10-08 13:47:04,667] WARNING: [!] Capítulo sem número detectado: 'capitulo  (198)' — pulando...
[2025-10-08 13:47:04,667] WARNING: [!] Capítulo sem número detectado: 'capitulo  (197)' — pulando...
[2025-10-08 13:47:04,667] WARNING: [!] Capítulo sem número detectado: 'capitulo  (196)' — pulando...
[2025-10-08 13:47:04,667] WARNING: [!] Capítulo sem número detectado: 'capitulo  (195)' — pulando...
[2025-10-08 13:47:04,667] WARNING: [!] Capítulo sem número detectado: 'capitulo  (194)' — pulando...
[2025-10-08 13:47:04,667] WARNING: [!] Capítulo sem número detectado: 'capitulo  (193)' — pulando...
[2025-10-08 13:47:04,667] WARNING: [!] Capítulo sem número detectado: 'capitulo  (192)' — pulando...
[2025-10-08 13:47:04,668] WARNING: [!] Capítulo sem número detectado: 'capitulo  (191)' — pulando...
[2025-10-08 13:47:04,668] WARNING: [!] Capítulo sem número detectado: 'capitulo  (190)' — pulando...
[2025-10-08 13:47:04,668] WARNING: [!] Capítulo sem número detectado: 'capitulo  (189)' — pulando...
[2025-10-08 13:47:04,668] WARNING: [!] Capítulo sem número detectado: 'capitulo  (188)' — pulando...
[2025-10-08 13:47:04,668] WARNING: [!] Capítulo sem número detectado: 'capitulo  (187)' — pulando...
[2025-10-08 13:47:04,668] WARNING: [!] Capítulo sem número detectado: 'capitulo  (186)' — pulando...
[2025-10-08 13:47:04,668] WARNING: [!] Capítulo sem número detectado: 'capitulo  (185)' — pulando...
[2025-10-08 13:47:04,668] WARNING: [!] Capítulo sem número detectado: 'capitulo  (184)' — pulando...
